,distance,consume,speed,temp_inside,temp_outside,specials,gas_type,ac,rain,sun,refill_liters,refill_gas,consumo_abs,CO2,CO2_km,speed_range,temp_o_range
105,22.9,5.3,45,"20,5",7,Otro,SP98,0,0,0,,,1.2137,2791.51,121.90000000000002,"(30, 60]","(5, 10]"
106,162.7,5.5,75,23,1,Otro,SP98,0,0,0,45,SP98,8.9485,20581.55,126.5,"(60, 90]","(0, 5]"
107,4.9,6.5,26,21,1,Otro,SP98,0,0,0,,,0.3185,732.5500000000001,149.5,"(0, 30]","(0, 5]"
108,11.8,4.7,36,21,4,Otro,SP98,0,0,0,,,0.5546000000000001,1275.5800000000002,108.10000000000001,"(30, 60]","(0, 5]"
109,16.6,5.1,56,21,7,Otro,SP98,0,0,0,,,0.8466,1947.18,117.3,"(30, 60]","(5, 10]"
110,12.4,5.7,37,21,7,Otro,SP98,0,0,0,,,0.7068000000000001,1625.6400000000003,131.10000000000002,"(30, 60]","(5, 10]"
111,15.9,5.4,25,21,7,Otro,SP98,0,0,0,,,0.8586000000000001,1974.7800000000004,124.20000000000002,"(0, 30]","(5, 10]"
112,5.1,8.7,21,"23,5",5,Otro,SP98,0,0,0,,,0.44369999999999993,1020.5099999999999,200.1,"(0, 30]","(0, 5]"
113,22.4,4.9,66,"20,5",7,Otro,SP98,0,0,0,,,1.0976000000000001,2524.4800000000005,112.70000000000003,"(60, 90]","(5, 10]"
114,31.1,4.7,42,"20,5",7,Otro,SP98,0,0,0,,,1.4617000000000002,3361.9100000000003,108.10000000000001,"(30, 60]","(5, 10]"
115,4.9,6.3,27,"20,5",3,Otro,SP98,0,0,0,,,0.30870000000000003,710.0100000000001,144.9,"(0, 30]","(0, 5]"
116,11.8,5.1,26,23,4,Rain,SP98,0,1,0,,,0.6018,1384.14,117.3,"(0, 30]","(0, 5]"
117,22.9,6.0,42,23,4,Rain,SP98,0,1,0,,,1.3739999999999997,3160.1999999999994,137.99999999999997,"(30, 60]","(0, 5]"
118,12.4,4.6,38,23,1,Snow,SP98,0,1,0,,,0.5704,1311.92,105.8,"(30, 60]","(0, 5]"
119,12.9,5.8,40,23,4,Otro,SP98,0,0,0,,,0.7482,1720.86,133.39999999999998,"(30, 60]","(0, 5]"
